word_counts,character_counts,avg_word_len,stop_word_len,mentions,hash_tags,numeric_counts,upper_counts,emails_counts,urls_counts
6,33,4.5,2,1,0,0,0,0,0
8,62,6.625,2,1,0,0,1,0,0
14,56,3.0,10,0,0,0,0,0,0
15,80,4.333333333333333,5,0,0,0,0,0,0
20,131,5.5,5,1,0,0,0,0,0
6,37,5.166666666666667,1,0,0,0,0,0,0
14,77,4.428571428571429,8,1,0,0,0,0,0
9,53,4.888888888888889,3,0,0,0,0,0,0
19,115,4.894736842105263,8,1,0,0,2,0,0
14,74,4.285714285714286,7,1,0,0,1,0,0
3,28,8.333333333333334,0,1,0,0,0,0,0
28,133,3.75,13,1,0,0,3,0,0
6,44,6.333333333333333,2,0,0,0,0,0,1
4,17,3.25,2,1,0,0,0,0,0
15,74,3.8666666666666667,7,0,0,0,0,0,0
19,117,5.157894736842105,10,0,0,0,0,0,0
7,38,4.428571428571429,3,0,0,0,0,0,0
20,92,3.6,8,0,0,0,1,0,0
4,21,4.25,2,0,0,0,0,0,0
8,45,4.625,3,0,0,0,0,0,0
22,109,3.9545454545454546,11,1,0,0,3,0,0
19,107,4.631578947368421,3,1,0,0,0,0,0
17,104,5.117647058823529,5,0,0,0,0,0,0
4,20,4.0,1,0,0,0,0,0,0
18,138,6.666666666666667,4,0,0,0,0,0,1
13,76,4.846153846153846,1,1,0,0,2,0,0
13,75,4.6923076923076925,3,0,0,0,1,0,0
11,66,5.0,3,0,0,0,1,0,0
7,43,5.142857142857143,2,1,0,0,0,0,0
22,114,4.181818181818182,11,0,0,0,0,0,0
20,108,4.4,6,1,0,0,2,0,0
19,116,5.105263157894737,7,0,0,0,0,0,0
27,141,4.222222222222222,6,2,0,0,0,0,0
5,27,4.4,1,0,0,0,0,0,0
25,122,3.88,10,1,0,0,3,0,0
24,126,4.25,8,1,0,0,2,0,0
14,76,4.357142857142857,3,0,0,0,3,0,0
11,61,4.545454545454546,5,0,0,0,1,0,0
18,83,3.611111111111111,7,0,0,0,1,0,0
10,70,5.9,2,1,0,0,0,0,0
8,52,5.5,2,1,0,0,1,0,0
7,34,3.857142857142857,2,0,0,0,0,0,0
10,62,5.2,3,0,0,0,0,0,0
15,85,4.666666666666667,5,0,0,0,0,0,1
3,18,5.0,1,0,0,0,0,0,0
5,31,5.2,1,0,0,0,0,0,0
18,99,4.444444444444445,5,0,0,0,1,0,0
12,89,6.416666666666667,2,0,0,0,0,0,0
4,30,6.5,0,0,0,0,0,0,0
22,99,3.5,3,0,0,0,2,0,0
24,136,4.666666666666667,9,0,0,0,0,0,0
15,80,4.333333333333333,4,1,0,0,2,0,0
4,22,4.5,1,0,0,0,0,0,0
7,32,3.5714285714285716,4,0,0,0,0,0,0
15,81,4.4,7,1,0,0,1,0,0
23,121,4.173913043478261,6,1,2,0,3,0,0
4,26,5.5,1,1,0,0,0,0,0
7,38,4.428571428571429,1,0,0,0,0,0,0
12,71,4.916666666666667,4,0,0,0,1,0,0
6,56,7.333333333333333,0,1,0,0,0,0,0
9,46,4.111111111111111,2,0,0,0,2,0,0
9,42,3.6666666666666665,4,1,0,0,1,0,0
21,137,5.523809523809524,5,1,0,0,0,0,0
14,75,4.285714285714286,3,0,0,0,0,0,0
26,130,4.0,11,0,0,0,0,0,0
14,72,4.142857142857143,5,0,0,0,0,0,0
8,42,4.25,2,0,0,0,1,0,0
13,69,4.3076923076923075,6,0,0,0,0,0,0
10,50,4.0,3,0,0,0,1,0,0
11,54,3.909090909090909,5,1,0,0,0,0,0
32,135,3.21875,16,0,0,0,0,0,0
7,51,6.142857142857143,3,1,0,0,0,0,0
20,103,4.15,8,0,0,0,1,0,0
3,16,4.333333333333333,0,0,0,0,0,0,0
13,60,3.6153846153846154,7,0,0,0,1,0,0
16,101,5.3125,6,0,0,0,1,0,0
15,70,3.6666666666666665,5,0,0,0,2,0,0
6,26,3.3333333333333335,3,0,0,0,0,0,0
15,76,4.0,1,0,0,0,4,0,0
7,49,6.0,2,1,0,0,0,0,0
15,70,3.6,6,1,0,0,1,0,0
23,136,4.913043478260869,8,1,0,0,0,0,0
3,38,10.666666666666666,0,2,0,0,0,0,0
15,76,4.066666666666666,5,0,0,0,1,0,0
13,71,4.461538461538462,5,0,0,0,0,0,0
4,20,4.0,0,0,0,0,0,0,0
23,133,4.782608695652174,8,1,0,0,0,0,0
18,100,4.555555555555555,10,1,0,0,0,0,0
11,63,4.636363636363637,6,0,1,0,0,0,0
9,56,5.222222222222222,2,0,0,0,1,0,0
6,34,4.666666666666667,2,1,0,0,0,0,0
23,114,3.869565217391304,8,1,0,0,2,0,0
25,138,4.52,11,0,0,0,0,0,0
17,81,3.7058823529411766,11,0,0,0,0,0,0
11,68,5.181818181818182,5,1,0,0,2,0,0
26,124,3.6538461538461537,13,1,0,0,1,0,0
4,29,6.25,2,1,0,0,0,0,0
18,94,4.222222222222222,5,0,0,0,1,0,0
15,72,3.8,7,0,0,0,0,0,0
14,81,4.785714285714286,0,0,0,0,0,0,0
12,66,4.5,4,0,0,0,0,0,0
8,56,6.0,3,0,0,0,0,0,0
19,89,3.6842105263157894,7,0,0,0,2,0,0
18,93,4.166666666666667,7,0,0,0,0,0,0
14,84,5.0,5,1,0,0,0,0,0
14,75,4.357142857142857,7,1,0,0,0,0,0
11,53,3.727272727272727,4,0,0,0,3,0,0
9,45,4.0,6,0,0,0,0,0,0
14,78,4.571428571428571,4,1,0,0,1,0,0
7,37,4.285714285714286,0,0,0,0,0,0,0
25,128,4.12,9,1,0,0,4,0,0
17,79,3.6470588235294117,6,0,0,0,1,0,0
19,102,4.368421052631579,7,1,0,0,3,0,0
18,96,4.333333333333333,7,0,1,0,0,0,0
14,82,4.857142857142857,3,1,0,0,0,0,0
11,53,3.8181818181818183,3,0,0,0,0,0,0
8,37,3.625,5,0,0,0,0,0,0
13,83,5.230769230769231,7,2,0,0,1,0,0
15,87,4.8,4,0,0,0,0,0,0
5,25,4.0,1,0,0,0,0,0,0
13,67,4.153846153846154,6,0,0,0,1,0,0
7,24,2.4285714285714284,4,0,0,0,1,0,0
10,66,5.6,2,1,0,0,0,0,0
16,97,5.0625,6,0,0,0,0,0,0
7,37,4.285714285714286,1,0,1,0,0,0,0
24,134,4.583333333333333,6,0,0,0,2,0,0
27,136,4.0,16,0,0,0,0,0,0
7,34,3.857142857142857,3,1,0,0,1,0,0
16,79,3.9375,5,0,0,0,1,0,0
10,67,5.6,1,0,0,0,0,0,1
5,27,4.4,0,0,0,0,0,0,0
21,105,4.0,11,0,0,0,2,0,0
14,75,4.357142857142857,7,1,0,0,0,0,0
15,94,5.2,5,0,0,0,0,0,0
25,128,4.12,12,1,0,0,0,0,0
21,94,3.4761904761904763,8,0,0,0,1,0,0
2,17,7.5,0,1,0,0,0,0,0
8,52,5.5,3,0,0,0,0,0,0
22,109,3.727272727272727,5,1,0,0,2,0,0
15,84,4.533333333333333,5,1,0,0,1,0,0
17,84,3.823529411764706,7,1,0,0,1,0,0
9,52,4.666666666666667,2,0,0,0,1,0,0
6,39,5.5,1,1,0,0,0,0,0
5,26,4.2,1,0,0,0,1,0,0
7,67,8.428571428571429,1,0,0,0,1,0,0
7,35,4.0,3,0,0,0,0,0,0
27,137,4.074074074074074,10,1,0,0,0,0,0
24,113,3.7083333333333335,10,0,0,0,2,0,0
14,92,5.5,3,1,0,0,0,0,0
10,63,5.2,4,0,0,0,0,0,0
23,133,4.782608695652174,8,1,0,0,0,0,0
6,39,5.5,2,0,1,0,0,0,0
20,92,3.6,9,0,0,0,4,0,0
18,93,4.166666666666667,8,0,0,0,0,0,0
17,92,4.411764705882353,5,1,0,0,0,0,0
21,110,4.238095238095238,5,0,0,0,0,0,0
20,106,4.3,3,1,0,0,0,0,0
11,62,4.636363636363637,1,0,0,0,0,0,1
27,147,4.444444444444445,10,1,0,0,0,0,0
11,63,4.7272727272727275,5,0,0,0,1,0,0
8,46,4.5,3,0,0,0,0,0,0
7,39,4.571428571428571,2,0,0,0,0,0,0
22,113,4.136363636363637,9,0,0,0,2,0,0
4,20,3.75,1,0,0,0,0,0,0
25,138,4.52,8,0,0,0,0,0,0
3,14,3.6666666666666665,1,0,0,0,0,0,0
13,87,5.6923076923076925,6,1,1,0,1,0,0
7,48,5.857142857142857,2,0,0,0,0,0,0
28,137,3.892857142857143,3,0,0,0,6,0,0
21,121,4.523809523809524,7,0,0,0,3,0,0
4,17,3.25,2,0,0,0,0,0,0
2,13,5.5,0,0,0,0,0,0,0
5,34,5.8,0,1,0,0,0,0,0
21,108,4.142857142857143,13,0,0,0,0,0,0
16,98,5.125,8,1,0,0,1,0,0
23,106,3.608695652173913,10,1,0,0,1,0,0
19,109,4.7368421052631575,8,1,0,0,0,0,0
25,131,4.24,10,0,0,0,1,0,0
4,25,5.25,1,0,0,0,0,0,0
4,57,13.25,0,0,0,0,0,0,1
10,60,5.0,4,0,0,0,0,0,0
19,105,4.526315789473684,7,0,0,0,0,0,0
17,115,5.764705882352941,5,1,0,0,0,0,0
